在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
他强调陕西要按照习近平总书记5个扎实要求，认真落实好党中央国务院决策部署。	他强调陕西要按照习近平总书记五个扎实要求，认真落实好党中央国务院决策部署。
4月14号至16号，中共中央政治局常委国务院副总理韩正在陕西调研。	四月十四号至十六号，中共中央政治局常委国务院副总理韩正在陕西调研。
距离老队长王进喜在大庆油田打出第一口油井，已经整整59年了。	距离老队长王进喜在大庆油田打出第一口油井，已经整整五十九年了。
面对困难，王进喜带领1205钻井队应试平整人拉肩扛杠翘手台。	面对困难，王进喜带领一二零五钻井队应试平整人拉肩扛杠翘手台。
一天一夜端水50多吨，打井时突发井喷，为了避免井毁人亡。	一天一夜端水五十多吨，打井时突发井喷，为了避免井毁人亡。
爱国情奋斗者系列报道，今天播出铁人精神传承60载，我为祖国奋斗加油。	爱国情奋斗者系列报道，今天播出铁人精神传承六十载，我为祖国奋斗加油。
今年已经82岁的王启民被誉为第二代大庆新铁人。	今年已经八十二岁的王启民被誉为第二代大庆新铁人。
要发展就要拓展更广阔的天地。在一带一路重要国家，伊拉克来自大庆油田的海外1205钻井队。	要发展就要拓展更广阔的天地。在一带一路重要国家，伊拉克来自大庆油田的海外一二零五钻井队。
目前大庆油田的海外市场已经遍布全球35个国家和地区，2018年实现营收人民币突破百亿元。	目前大庆油田的海外市场已经遍布全球三十五个国家和地区，二零一八年实现营收人民币突破百亿元。
2005年曹燕生进入航天科工二院283厂，原以为能够接触到先进的数控加工设备。	二零零五年曹燕生进入航天科工二院两百八十三厂，原以为能够接触到先进的数控加工设备。
假期第一天踏青赏花也是热门选择。湖北麻城归封山10万多亩杜鹃花连片开放，江苏大丰。	假期第一天踏青赏花也是热门选择。湖北麻城归封山十万多亩杜鹃花连片开放，江苏大丰。
0.005左右，相当于头发丝的1/16，这应该是目前这个加工的应该是算是极致了。	零点零零五左右，相当于头发丝的十六分之一，这应该是目前这个加工的应该是算是极致了。
本台消息，今天出版的第9期求是杂志，发表中共中央总书记、国家主席、中央军委主席习近平的重要文章。	本台消息，今天出版的第九期求是杂志，发表中共中央总书记、国家主席、中央军委主席习近平的重要文章。
荷兰花海游人如织，3000万株郁金香吸引来上万游客。	荷兰花海游人如织，三千万株郁金香吸引来上万游客。
屋盖面积达18万平方米，顶部设有大面积天窗，保证自然光充足，预计北京大兴国际机场。	屋盖面积达十八万平方米，顶部设有大面积天窗，保证自然光充足，预计北京大兴国际机场。
将在今年6月30号前全部竣工验收，9月底前通航。	将在今年六月三十号前全部竣工验收，九月底前通航。
4月29号首次淮河生态经济带省际联席会在江苏淮安召开，沿淮5省29个市县共同发布。	四月二十九号首次淮河生态经济带省际联席会在江苏淮安召开，沿淮五省二十九个市县共同发布。
在今年8月16号12:00之前，捕捞渔船为捕捞渔船配套服务的捕捞辅助船等都不得出海作业。	在今年八月十六号十二:之前，捕捞渔船为捕捞渔船配套服务的捕捞辅助船等都不得出海作业。
心手相连，点亮生命健康扶贫大型公益活动。4月18号到4月30号在云南开展。	心手相连，点亮生命健康扶贫大型公益活动。四月十八号到四月三十号在云南开展。
日本第126代天皇德仁的即位仪式今天上午在东京举行。	日本第一百二十六代天皇德仁的即位仪式今天上午在东京举行。
委内瑞拉总统马杜罗当地时间4月30号晚上发表电视讲话说。	委内瑞拉总统马杜罗当地时间四月三十号晚上发表电视讲话说。
今天是5月1号星期三，农历3月27，欢迎收看新闻联播节目。	今天是五月一号星期三，农历三月二十七，欢迎收看新闻联播节目。
文章指出，中华文明经历了5000多年的历史变迁，但始终一脉相承。	文章指出，中华文明经历了五千多年的历史变迁，但始终一脉相承。
本台消息国家主席习近平5月1号同多米尼加总统梅迪纳互之贺电，庆祝两国建交一周年。	本台消息国家主席习近平五月一号同多米尼加总统梅迪纳互之贺电，庆祝两国建交一周年。
去年11月你成功对中国进行国事访问，我们共同规划两国关系发展蓝图达成很多重要共识。	去年十一月你成功对中国进行国事访问，我们共同规划两国关系发展蓝图达成很多重要共识。
习近平在贺电中指出，去年5月中国同多米尼加正式建立外交关系，揭开了两国关系新篇章。	习近平在贺电中指出，去年五月中国同多米尼加正式建立外交关系，揭开了两国关系新篇章。
本台消息，5月1号，国家主席习近平致电日本新天皇德人对其即位表示祝贺。	本台消息，五月一号，国家主席习近平致电日本新天皇德人对其即位表示祝贺。
习近平总书记在纪念五四运动100周年大会上的重要讲话，在各地引发热烈反响。	习近平总书记在纪念五四运动一百周年大会上的重要讲话，在各地引发热烈反响。
论学习贯彻习近平总书记在纪念五四运动100周年大会上重要讲话。	论学习贯彻习近平总书记在纪念五四运动一百周年大会上重要讲话。
文章指出，在2019年中国北京世界园艺博览会开幕式上的重要讲话中，习近平主席洞察人类文明发展规律。	文章指出，在二零一九年中国北京世界园艺博览会开幕式上的重要讲话中，习近平主席洞察人类文明发展规律。
把握顺应自然保护生态的发展大势，明确提出了同住生态文明之基，同走绿色发展之路的5点主张。	把握顺应自然保护生态的发展大势，明确提出了同住生态文明之基，同走绿色发展之路的五点主张。
人民创造历史，劳动开创未来。今年是新中国成立70周年，也是大庆油田发现60周年。	人民创造历史，劳动开创未来。今年是新中国成立七十周年，也是大庆油田发现六十周年。
从波兰壮阔的石油大会战到原有5000万吨以上，连续27年高产稳产。	从波兰壮阔的石油大会战到原有五千万吨以上，连续二十七年高产稳产。
钻透了300多座珠穆朗玛峰。	钻透了三百多座珠穆朗玛峰。
从抢滩国际市场，再到建设百年新油田，60年来，一代又一代的大庆石油人接续传承铁人精神。	从抢滩国际市场，再到建设百年新油田，六十年来，一代又一代的大庆石油人接续传承铁人精神。
实现我们05队队史上总进尺的300万米，很多人可能不理解这个数字，但是300万米就相当于。	实现我们零五队队史上总进尺的三百万米，很多人可能不理解这个数字，但是三百万米就相当于。
促进文化事业健康发展。从2013年至2018年，全国国有文艺院团财政补贴。	促进文化事业健康发展。从二零一三年至二零一八年，全国国有文艺院团财政补贴。
由101亿元增加到154亿元，年均增长近9%。国家艺术基金自2014年成立以来。	由一百零一亿元增加到一百五十四亿元，年均增长近百分之九。国家艺术基金自二零一四年成立以来。
共确立资助项目5112项，资助资金总额约41.1亿元，极大激发了各类文艺创作创新争优的积极性。	共确立资助项目五一一二项，资助资金总额约四十一点一亿元，极大激发了各类文艺创作创新争优的积极性。
以壮阔恢弘的丹青画卷向新中国70华诞献礼。2019年夏天，全国基层院团戏曲汇演在京上演。	以壮阔恢弘的丹青画卷向新中国七十华诞献礼。二零一九年夏天，全国基层院团戏曲汇演在京上演。
